time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-09-24T09:58:54.776Z,13.5949,-92.0171,32.11,4.3,mb,,185,2.195,0.96,us,us7000fe14,2021-09-24T11:38:28.940Z,"78 km S of Champerico, Guatemala",earthquake,9.1,3,0.039,189,reviewed,us,us
2021-09-24T09:44:23.318Z,12.064,-88.1588,10,4.7,mb,,173,1.277,0.56,us,us7000fe12,2021-09-24T10:21:56.040Z,"107 km SW of Jiquilillo, Nicaragua",earthquake,3.2,2,0.039,195,reviewed,us,us
2021-09-24T09:12:32.160Z,19.1975002288818,-155.485504150391,37.6199989318848,2.1400001,md,44,77,,0.109999999,hv,hv72722777,2021-09-24T09:15:49.920Z,"0 km SW of Pāhala, Hawaii",earthquake,0.46,0.949999988,0.899999976,11,automatic,hv,hv
2021-09-24T08:43:07.925Z,38.1113,-118.9641,2.7,1.6,ml,17,80.11,0.387,0.2119,nn,nn00823301,2021-09-24T08:46:40.825Z,"17 km ENE of Mono City, California",earthquake,,8.5,0.22,9,automatic,nn,nn
2021-09-24T08:36:07.470Z,33.8356667,-118.268,7.69,1.38,ml,33,71,0.03217,0.29,ci,ci39817903,2021-09-24T16:55:06.620Z,"1km ENE of Carson, CA",earthquake,0.36,0.55,0.255,15,reviewed,ci,ci
2021-09-24T08:23:13.297Z,38.171,-117.8376,11.3,1.1,ml,10,103.92,0.028,0.1535,nn,nn00823300,2021-09-24T08:26:48.525Z,"34 km SE of Mina, Nevada",earthquake,,0.5,0.55,6,automatic,nn,nn
2021-09-24T08:18:37.576Z,62.2492,-150.28,47.8,2.3,ml,,,,0.81,ak,ak021c9pd2h0,2021-09-24T08:27:55.104Z,"7 km SSW of Trapper Creek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-09-24T08:14:05.440Z,19.166166305542,-155.469329833984,34.7099990844727,1.95000005,md,37,84,,0.109999999,hv,hv72722702,2021-09-24T08:17:21.340Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.55,0.850000024,0.569999993,7,automatic,hv,hv
2021-09-24T07:57:38.968Z,-27.7704,-176.833,26.2,5.1,mb,,76,1.767,0.55,us,us7000fe0p,2021-09-24T08:16:28.040Z,"Kermadec Islands region",earthquake,11.4,5.4,0.079,51,reviewed,us,us
2021-09-24T07:29:57.597Z,31.37963592,-103.4818901,2.892358398,1.5,ml,18,100,0.01098076332,0.3,tx,tx2021ssor,2021-09-24T15:39:42.402Z,"western Texas",earthquake,1.143013027,0.8958230688,0.1,11,reviewed,tx,tx
2021-09-24T07:27:14.390Z,19.1879997253418,-155.385162353516,30.5799999237061,1.83000004,md,37,175,,0.119999997,hv,hv72722642,2021-09-24T07:30:29.330Z,"9 km E of Pāhala, Hawaii",earthquake,0.65,1.00999999,0.00999999978,5,automatic,hv,hv
2021-09-24T07:23:18.254Z,38.5076,-119.5254,7.8,1,ml,8,180.05,0.023,0.1028,nn,nn00823298,2021-09-24T07:27:07.596Z,"4 km W of Walker, California",earthquake,,0.9,0.08,3,automatic,nn,nn
2021-09-24T07:16:01.123Z,38.3985,-119.5866,0,1.5,ml,15,97.85,0.118,0.309,nn,nn00823294,2021-09-24T07:19:10.807Z,"16 km SW of Walker, California",earthquake,,5.3,0.3,5,automatic,nn,nn
2021-09-24T07:11:14.617Z,38.4054,-119.571,8.9,1.1,ml,15,97.74,0.105,0.2224,nn,nn00823290,2021-09-24T07:14:28.218Z,"14 km SW of Walker, California",earthquake,,0.6,0,1,automatic,nn,nn
